,elaped_time,pages_queued
0,0.35,1
1,0.35,2
2,0.36,3
3,0.36,4
4,0.36,5
5,0.36,6
6,0.37,7
7,0.37,8
8,0.37,9
9,0.37,10
10,0.38,11
11,0.38,12
12,0.38,13
13,0.38,14
14,0.39,15
15,0.39,16
16,0.39,17
17,0.39,18
18,0.39,19
19,0.40,20
20,0.59,21
21,0.60,22
22,0.60,23
23,0.60,24
24,0.60,25
25,0.60,26
26,0.61,27
27,0.61,28
28,0.61,29
29,0.61,30
30,0.61,31
31,0.62,32
32,0.62,33
33,0.62,34
34,0.62,35
35,0.63,36
36,0.63,37
37,0.63,38
38,0.63,39
39,0.63,40
40,0.85,41
41,0.85,42
42,0.86,43
43,0.86,44
44,0.86,45
45,0.86,46
46,0.87,47
47,0.87,48
48,0.87,49
49,0.87,50
50,0.87,51
51,0.88,52
52,0.88,53
53,0.88,54
54,0.88,55
55,0.89,56
56,0.89,57
57,0.89,58
58,0.89,59
59,0.89,60
60,1.22,61
61,1.22,62
62,1.22,63
63,1.23,64
64,1.23,65
65,1.23,66
66,1.24,67
67,1.24,68
68,1.24,69
69,1.24,70
70,1.25,71
71,1.25,72
72,1.25,73
73,1.25,74
74,1.26,75
75,1.26,76
76,1.26,77
77,1.27,78
78,1.27,79
79,1.27,80
80,1.55,81
81,1.55,82
82,1.55,83
83,1.56,84
84,1.56,85
85,1.56,86
86,1.56,87
87,1.56,88
88,1.57,89
89,1.57,90
90,1.57,91
91,1.57,92
92,1.58,93
93,1.58,94
94,1.58,95
95,1.58,96
96,1.58,97
97,1.59,98
98,1.59,99
99,1.59,100
100,1.83,101
101,1.83,102
102,1.83,103
103,1.84,104
104,1.84,105
105,1.84,106
106,1.85,107
107,1.85,108
108,1.85,109
109,1.86,110
110,1.86,111
111,1.86,112
112,1.87,113
113,1.87,114
114,1.87,115
115,1.88,116
116,1.88,117
117,1.88,118
118,1.88,119
119,1.89,120
120,2.09,121
121,2.09,122
122,2.09,123
123,2.09,124
124,2.10,125
125,2.10,126
126,2.10,127
127,2.10,128
128,2.10,129
129,2.11,130
130,2.11,131
131,2.11,132
132,2.11,133
133,2.11,134
134,2.12,135
135,2.12,136
136,2.12,137
137,2.12,138
138,2.13,139
139,2.13,140
140,2.33,141
141,2.33,142
142,2.34,143
143,2.34,144
144,2.34,145
145,2.34,146
146,2.34,147
147,2.35,148
148,2.35,149
149,2.35,150
150,2.35,151
151,2.36,152
152,2.36,153
153,2.36,154
154,2.36,155
155,2.36,156
156,2.37,157
157,2.37,158
158,2.37,159
159,2.37,160
160,2.64,161
161,2.64,162
162,2.64,163
163,2.65,164
164,2.65,165
165,2.65,166
166,2.65,167
167,2.66,168
168,2.66,169
169,2.66,170
170,2.66,171
171,2.66,172
172,2.67,173
173,2.67,174
174,2.67,175
175,2.67,176
176,2.68,177
177,2.68,178
178,2.68,179
179,2.68,180
180,2.91,181
181,2.91,182
182,2.92,183
183,2.92,184
184,2.92,185
185,2.92,186
186,2.92,187
187,2.93,188
188,2.93,189
189,2.93,190
190,2.93,191
191,2.94,192
192,2.94,193
193,2.94,194
194,2.94,195
195,2.94,196
196,2.95,197
197,2.95,198
198,2.95,199
199,2.95,200
200,3.16,201
201,3.17,202
202,3.17,203
203,3.17,204
204,3.18,205
205,3.18,206
206,3.19,207
207,3.19,208
208,3.19,209
209,3.20,210
210,3.20,211
211,3.20,212
212,3.20,213
213,3.21,214
214,3.21,215
215,3.21,216
216,3.22,217
217,3.22,218
218,3.22,219
219,3.22,220
220,3.45,221
221,3.46,222
222,3.46,223
223,3.46,224
224,3.47,225
225,3.47,226
226,3.47,227
227,3.47,228
228,3.48,229
229,3.48,230
230,3.48,231
231,3.48,232
232,3.49,233
233,3.49,234
234,3.49,235
235,3.49,236
236,3.50,237
237,3.50,238
238,3.50,239
239,3.50,240
240,3.69,241
241,3.70,242
242,3.70,243
243,3.70,244
244,3.70,245
245,3.71,246
246,3.71,247
247,3.71,248
248,3.71,249
249,3.72,250
250,3.72,251
251,3.72,252
252,3.73,253
253,3.73,254
254,3.73,255
255,3.73,256
256,3.74,257
257,3.74,258
258,3.74,259
259,3.74,260
260,3.94,261
261,3.95,262
262,3.95,263
263,3.95,264
264,3.95,265
265,3.95,266
266,3.96,267
267,3.96,268
268,3.96,269
269,3.96,270
270,3.97,271
271,3.97,272
272,3.97,273
273,3.97,274
274,3.97,275
275,3.98,276
276,3.98,277
277,3.98,278
278,3.98,279
279,3.99,280
280,4.48,281
281,4.49,282
282,4.49,283
283,4.50,284
284,4.50,285
285,4.50,286
286,4.51,287
287,4.51,288
