,elaped_time,pages_visited
0,0.69,64
1,0.96,65
2,1.23,66
3,1.50,67
4,1.77,68
5,2.04,69
6,2.30,70
7,2.58,71
8,2.84,72
9,3.13,73
10,3.44,74
11,3.75,75
12,4.02,76
13,4.36,77
14,4.62,78
15,4.88,79
16,5.14,80
17,5.41,81
18,5.88,82
19,6.34,83
20,6.67,84
21,7.09,85
22,7.54,86
23,7.82,87
24,8.12,88
25,8.38,89
26,8.65,90
27,8.90,91
28,9.17,92
29,9.44,93
30,9.70,94
31,9.98,95
32,10.25,96
33,10.50,97
34,10.81,98
35,11.09,99
36,11.36,100
37,11.63,101
38,11.90,102
39,12.19,103
40,12.46,104
41,12.79,105
42,13.10,106
43,13.39,107
44,13.65,108
45,13.92,109
46,14.21,110
47,14.52,111
48,14.78,112
49,15.08,113
50,15.38,114
51,15.67,115
52,16.00,116
53,16.44,117
54,16.77,118
55,17.16,119
56,17.46,120
57,17.95,121
58,18.22,122
59,18.52,123
60,18.82,124
61,19.07,125
62,19.34,126
63,19.61,127
64,19.87,128
65,20.15,129
66,20.42,130
67,20.67,131
68,20.96,132
69,21.30,133
70,21.68,134
71,22.00,135
72,22.36,136
73,22.61,137
74,22.88,138
75,23.16,139
76,23.40,140
77,23.68,141
78,23.94,142
79,24.26,143
80,24.51,144
81,24.80,145
82,25.15,146
83,25.42,147
84,25.67,148
85,25.94,149
86,26.19,150
87,26.53,151
88,26.83,152
89,27.14,153
90,27.41,154
91,27.68,155
92,27.94,156
93,28.24,157
94,28.50,158
95,28.82,159
96,29.14,160
97,29.41,161
98,29.83,162
99,30.14,163
100,30.40,164
101,30.75,165
102,31.05,166
103,31.33,167
104,31.58,168
105,31.92,169
106,32.15,170
107,32.45,171
108,32.71,172
109,32.98,173
110,33.25,174
111,33.50,175
112,33.76,176
113,34.06,177
114,34.33,178
115,34.60,179
116,34.88,180
117,35.15,181
118,35.45,182
119,35.85,183
120,35.86,183
121,36.14,184
122,36.42,185
123,36.73,186
124,36.99,187
